DJID,Genotype,Eye,Sex,Age_Months,eGFP_Value,Experimental_Condition,In_Rip,Length_um,Time_Condition,GluT1_Top_Surface_Integral,GluT1_Bot_Surface_Integral,WGA_Top_Surface_Integral,WGA_Bot_Surface_Integral,GluT1_Top_Integral,GluT1_Middle_Integral,GluT1_Bottom_Integral,WGA_Top_Integral,WGA_Middle_Integral,WGA_Bottom_Integral
3608,het,R,Male,3.0,0,Light Flicker,0,6.0,30,183683,4950,1442752,157969,107075,510128,4545,1137139,3057395,126684
3608,het,R,Male,3.0,0,Light Flicker,0,2.6999999999999997,30,5186,12475,40109,188681,4605,17550,22480,33972,259378,212758
3608,het,R,Male,3.0,0,Light Flicker,0,2.6999999999999997,30,106510,74715,1223108,699010,64409,392974,76820,979007,2138328,886130
3608,het,R,Male,3.0,1,Light Flicker,0,2.4,30,88964,130752,1354556,797150,47282,466222,133085,1098497,2260990,1035730
3608,het,R,Male,3.0,0,Light Flicker,0,2.55,30,97194,119343,1493419,983460,41969,484653,113811,1262127,2854238,1167409
3608,het,R,Male,3.0,0,Light Flicker,0,2.85,30,216464,111812,1821716,861480,137917,704454,109310,1549969,3378293,1009349
3608,het,R,Male,3.0,0,Light Flicker,0,2.25,30,81499,34973,740959,316169,49378,111133,68421,599013,1014663,438910
3608,het,R,Male,3.0,0,Light Flicker,0,2.6999999999999997,30,56351,61116,1222409,491800,29719,263423,60829,1087488,1730760,574055
3608,het,R,Male,3.0,0,Light Flicker,0,2.25,30,208840,140629,1513776,605323,129432,561727,125725,1235542,2140421,786302
3608,het,R,Male,3.0,0,Light Flicker,0,2.25,30,213002,129626,1433806,637803,128238,544600,118803,1187179,2058194,838342
3608,het,R,Male,3.0,0,Light Flicker,0,2.25,30,204945,107422,1250612,716104,122658,497017,106308,1084742,1783496,827372
3608,het,R,Male,3.0,0,Light Flicker,0,2.4,30,91852,111177,970153,439420,47699,341656,122963,691607,1647363,616835
3608,het,R,Male,3.0,0,Light Flicker,0,2.55,30,133566,141641,1247322,495571,68203,583530,144754,925075,2010943,662987
3608,het,R,Male,3.0,0,Light Flicker,0,2.55,30,72547,80252,852576,452996,39207,305639,81580,640443,1588494,601563
3608,het,R,Male,3.0,0,Light Flicker,0,2.4,30,118257,144742,1851337,861439,59115,529930,146023,1386622,2888915,1086206
3608,het,R,Male,3.0,0,Light Flicker,0,2.25,30,161761,112302,1187576,460070,78852,436389,124119,947295,1625915,641142
3608,het,R,Male,3.0,0,Light Flicker,0,5.7,30,99514,11215,1693524,188310,46335,556872,9819,1233595,3830221,154798
3608,het,R,Male,3.0,0,Light Flicker,0,2.6999999999999997,30,9934,11846,520908,304213,2297,63252,7683,331628,980512,387034
3608,het,R,Male,3.0,0,Light Flicker,0,2.4,30,19815,18084,688929,368100,7225,72639,9529,453797,1210622,464571
3608,het,R,Male,3.0,0,Light Flicker,0,2.4,30,21951,11979,601074,329787,10925,31506,20487,396277,1022458,403627
3608,het,R,Male,3.0,0,Light Flicker,0,3.4499999999999997,30,39996,12291,405184,135374,18595,130835,7274,281524,796338,158159
3608,het,R,Male,3.0,0,Light Flicker,0,2.55,30,8392,5786,506851,259567,2168,40743,2925,319780,853143,319912
3608,het,R,Male,3.0,0,Light Flicker,0,2.6999999999999997,30,6745,10192,327806,168151,1296,46020,5148,211813,547813,209859
3608,het,R,Male,3.0,0,Light Flicker,0,3.0,30,16909,3490,229046,86032,8083,31616,2318,151674,352643,113002
3608,het,R,Male,3.0,0,Light Flicker,0,2.55,30,103862,29936,424687,154935,44264,217067,19886,227498,712618,195737
3608,het,R,Male,3.0,0,Light Flicker,0,2.25,30,38443,14777,616118,399769,13756,101659,7629,371015,1124208,485991
3608,het,R,Male,3.0,0,Light Flicker,0,2.85,30,49177,25219,728879,248262,20805,168879,22937,480468,1410284,304691
3608,het,R,Male,3.0,1,Light Flicker,0,5.25,30,6453,313,440481,71994,2681,19694,173,312167,1237738,34548
3608,het,R,Male,3.0,0,Light Flicker,0,2.55,30,86356,43508,757741,338609,36430,233637,30451,487497,1302470,412127
3608,het,R,Male,3.0,1,Light Flicker,0,2.55,30,22986,17561,758574,421759,11114,81188,10329,550353,1396717,525454
3608,het,R,Male,3.0,1,Light Flicker,0,2.55,30,242136,133158,2452362,1044222,91661,873268,97158,1563180,4289518,1246904
3608,het,R,Male,3.0,0,Light Flicker,0,2.85,30,16571,4146,443552,211944,7796,46743,2425,315867,784287,270982
