file_name,masks_in_rip
3574LC_dark_WGA594_GLUT1_647_TUSC5_003,"[12, 11, 24, 21, 39, 15, 121, 125, 116, 123, 128, 139, 141, 88, 92, 86, 85]"
3574LD_dark_WGA594_GLUT1_647_TUSC5_001,"[47, 42, 44, 49, 37, 49, 45, 46, 30, 39, 24, 38, 67, 75, 66, 64, 58, 52, 51, 53, 48, 50, 43, 40, 41, 33, 38, 33, 31, 34, 36, 50, 48, 39, 46, 45]"
3574LD_dark_WGA594_GLUT1_647_TUSC5_002,[]
3574LD_dark_WGA594_GLUT1_647_TUSC5_003,[]
3574RA_light_WGA594_GLUT1_647_TUSC5_001,"[31, 36, 43, 47, 45, 48, 58, 57, 67, 67, 73, 83, 79, 98, 109, 112, 118, 117, 110, 116, 113, 114, 122, 120, 121, 37, 57, 45, 47, 31, 36, 73, 67, 58, 48, 70, 79, 83, 112, 118, 117, 108, 109, 117, 110, 116, 111, 113, 114, 122, 120, 121, 79, 70, 67, 58, 48]"
3574RA_light_WGA594_GLUT1_647_TUSC5_002,[]
3574RA_light_WGA594_GLUT1_647_TUSC5_003,[]
3574RB_light_WGA594_GLUT1_647_TUSC5_001,"[6, 17, 35, 44, 48, 53, 49, 57, 67, 75, 82, 98, 111, 108, 101, 96, 78, 84, 96, 88, 102, 100, 92, 67, 53, 48, 44, 35, 17, 6, 98]"
3574RB_light_WGA594_GLUT1_647_TUSC5_002,"[8, 23, 28, 37, 46]"
3574RB_light_WGA594_GLUT1_647_TUSC5_003,"[13, 0, 9, 1]"
3558R0_GLUT1_WGA_0002,"[10, 23, 29, 33, 34, 43, 50, 55, 56, 61, 66, 74, 63, 57]"
3588R0_GLUT1_WGA_0001,[78]
3653L_GLUT1_WGA_0004,"[0, 2, 3, 1]"
3653L_GLUT1_WGA_0005,"[18, 10, 0, 1, 6]"
