DJID,Genotype,Eye,Sex,Age_Months,eGFP_Value,Experimental_Condition,In_Rip,Length_um,Time_Condition,GluT1_Top_Surface_Integral,GluT1_Bot_Surface_Integral,WGA_Top_Surface_Integral,WGA_Bot_Surface_Integral,GluT1_Top_Integral,GluT1_Middle_Integral,GluT1_Bottom_Integral,WGA_Top_Integral,WGA_Middle_Integral,WGA_Bottom_Integral
3604,homo,R,Male,2.8,0,Dark,0,4.2,30,1058,4078,100232,324048,787,15837,1833,152065,681265,184037
3604,homo,R,Male,2.8,0,Dark,0,4.95,30,687,19,202621,56247,812,1113,72,286039,498190,93304
3604,homo,R,Male,2.8,1,Dark,0,2.4,30,213,87,164528,92908,424,229,116,272214,321190,122306
3604,homo,R,Male,2.8,0,Dark,0,2.55,30,406,42,165929,77013,715,451,75,263454,335684,91680
3604,homo,R,Male,2.8,1,Dark,0,3.15,30,113,36,57747,14965,136,216,44,80099,114345,20585
3604,homo,R,Male,2.8,0,Dark,0,2.4,30,601,99,87244,85576,1369,1237,144,149327,216373,109206
3604,homo,R,Male,2.8,1,Dark,0,4.05,30,1883,345,266583,151270,1990,3534,530,558661,904984,206520
3604,homo,R,Male,2.8,1,Dark,0,4.2,30,783,115,265948,129991,2224,1654,140,433131,724639,185104
3604,homo,R,Male,2.8,1,Dark,0,2.85,30,1414,99,654878,334612,6776,979,397,1173277,1381021,420925
3604,homo,R,Male,2.8,0,Dark,0,6.1499999999999995,30,669,138,149142,75600,1001,3687,164,317057,623734,92775
3604,homo,R,Male,2.8,0,Dark,0,3.3,30,328,199,120814,60233,750,940,333,203419,291433,93236
3604,homo,R,Male,2.8,0,Dark,0,6.0,30,1696,87,240996,137342,1672,4384,91,407696,895016,187405
3604,homo,R,Male,2.8,0,Dark,0,3.15,30,456,72,61405,137228,1115,758,70,122251,285493,189998
3604,homo,R,Male,2.8,0,Dark,0,6.1499999999999995,30,145,7,43309,31811,484,317,6,78762,157522,31289
3604,homo,R,Male,2.8,1,Dark,0,4.8,30,2170,281,389341,172638,2063,5610,276,445533,1204696,246721
3604,homo,R,Male,2.8,1,Dark,0,3.3,30,219,31,66729,122939,541,407,27,121561,299931,100750
3604,homo,R,Male,2.8,0,Dark,0,3.4499999999999997,30,209,57,66012,80579,527,377,40,156595,224136,111219
3604,homo,R,Male,2.8,0,Dark,0,3.3,30,179,21,49681,95032,400,362,22,98808,215321,128336
3604,homo,R,Male,2.8,0,Dark,0,6.0,30,1046,127,294274,164997,621,5542,58,259386,1109863,221042
3604,homo,R,Male,2.8,0,Dark,0,4.5,30,183,16,137337,54474,412,527,29,458038,399660,82081
3604,homo,R,Male,2.8,0,Dark,0,6.0,30,1511,63,160487,96359,608,3708,58,200400,551004,125764
3604,homo,R,Male,2.8,0,Dark,0,3.75,30,300,57,69943,71964,700,730,31,144036,306472,28988
3604,homo,R,Male,2.8,1,Dark,0,5.85,30,831,54,120632,114969,1350,1550,17,230861,654027,57423
3604,homo,R,Male,2.8,0,Dark,0,5.55,30,889,22,231451,110618,1433,2114,34,336827,687501,144042
3604,homo,R,Male,2.8,1,Dark,0,4.2,30,1775,510,463702,318116,1607,5274,553,769643,1565911,443796
3604,homo,R,Male,2.8,1,Dark,0,2.55,30,3428,2592,482940,284627,3861,10368,2513,727281,998631,397005
3604,homo,R,Male,2.8,0,Dark,0,2.4,30,417,135,74522,117650,832,819,43,111356,238810,83088
3604,homo,R,Male,2.8,1,Dark,0,3.0,30,774,157,131677,58247,1458,1920,97,216013,298647,77992
3604,homo,R,Male,2.8,1,Dark,0,3.3,30,2132,552,259365,131507,3371,5906,459,467422,691567,173162
3604,homo,R,Male,2.8,0,Dark,0,4.5,30,91,35,64722,59666,272,391,17,140836,307978,24515
3604,homo,R,Male,2.8,1,Dark,0,6.3,30,3257,172,354506,178217,3941,14005,78,582812,1474988,124473
3604,homo,R,Male,2.8,1,Dark,0,2.25,30,275,42,345847,189404,415,248,191,404759,606054,215166
3604,homo,R,Male,2.8,1,Dark,0,3.4499999999999997,30,2120,422,177570,89640,3432,6260,472,317619,485523,121834
3604,homo,R,Male,2.8,1,Dark,0,2.55,30,1693,769,390308,358664,7024,2893,940,907803,969987,474215
3604,homo,R,Male,2.8,1,Dark,0,4.6499999999999995,30,1167,230,316194,122733,1114,2811,205,460019,803014,171778
3604,homo,R,Male,2.8,0,Dark,0,4.35,30,635,35,283679,104681,2183,346,55,433350,732818,134888
3604,homo,R,Male,2.8,0,Dark,0,3.5999999999999996,30,2919,859,163342,115145,3019,9172,537,308393,454142,150673
3604,homo,R,Male,2.8,1,Dark,0,4.95,30,408,33,311056,167869,971,654,30,421180,873176,211142
3604,homo,R,Male,2.8,1,Dark,0,2.55,30,894,720,196705,144484,867,2590,887,293409,434748,186352
3604,homo,R,Male,2.8,1,Dark,0,4.2,30,1186,54,174786,59868,1175,2467,89,321767,527538,75243
3604,homo,R,Male,2.8,1,Dark,0,2.4,30,427,542,597697,849796,139,1473,514,159959,1603002,923980
3604,homo,R,Male,2.8,0,Dark,0,4.05,30,657,72,101549,97443,1187,1575,48,230542,330335,133130
3604,homo,R,Male,2.8,0,Dark,0,4.5,30,110,21,43778,69907,175,373,16,99260,234877,81816
3604,homo,R,Male,2.8,0,Dark,0,3.15,30,213,255,257949,87410,62,751,544,69668,532329,111358
3604,homo,R,Male,2.8,1,Dark,0,3.0,30,1233,1001,330805,193429,1093,5092,1047,642704,788681,265873
3604,homo,R,Male,2.8,0,Dark,0,3.15,30,132,29,111413,27981,24,315,110,28623,212288,29891
3604,homo,R,Male,2.8,0,Dark,0,2.25,30,154,37,12447,24064,282,345,25,23641,42694,33631
3604,homo,R,Male,2.8,1,Dark,0,2.6999999999999997,30,115,196,80139,130771,308,312,262,168944,252172,170972
3604,homo,R,Male,2.8,1,Dark,0,4.8,30,923,36,172325,52823,1237,1799,17,237955,475964,21468
3604,homo,R,Male,2.8,1,Dark,0,5.7,30,1956,138,286088,185205,6678,3620,165,952231,1026753,249908
3604,homo,R,Male,2.8,0,Dark,0,2.4,30,327,181,417000,132866,82,629,482,106494,708821,157772
3604,homo,R,Male,2.8,0,Dark,0,3.75,30,3090,2728,45290,71031,5032,14024,2722,108408,188182,93546
3604,homo,R,Male,2.8,0,Dark,0,5.25,30,2533,84,129348,111837,1870,7698,58,238000,505046,141498
3604,homo,R,Male,2.8,1,Dark,0,4.2,30,3216,463,366799,168208,3105,9959,506,627182,1131979,234906
3604,homo,R,Male,2.8,1,Dark,0,6.0,30,870,52,193932,72898,651,2079,20,285980,617762,30309
3604,homo,R,Male,2.8,0,Dark,0,2.25,30,935,400,747339,380085,294,1469,793,305674,1189712,484738
3604,homo,R,Male,2.8,0,Dark,0,3.3,30,1056,21,77882,66333,2809,954,16,120519,220565,46785
3604,homo,R,Male,2.8,1,Dark,0,2.4,30,872,915,577485,318689,184,2109,1783,149148,1099728,376386
3604,homo,R,Male,2.8,1,Dark,0,2.25,30,990,1788,181778,185048,873,4274,2176,490196,425308,250560
3604,homo,R,Male,2.8,0,Dark,0,4.2,30,162,114,86102,34300,524,815,165,293194,256463,49975
3606,homo,R,Male,2.8,0,Light Flicker,0,4.35,90,26384,25412,847474,146263,8452,223889,30803,457492,1508574,187252
3606,homo,R,Male,2.8,0,Light Flicker,0,2.85,90,13536,4163,444682,137373,5022,32074,6272,266827,872776,171477
3606,homo,R,Male,2.8,0,Light Flicker,0,3.9,90,15721,13911,440071,89636,4506,117628,14425,204560,875873,100749
3606,homo,R,Male,2.8,0,Light Flicker,0,4.35,90,35438,17942,998108,138084,12511,209014,19207,553567,1507902,170291
3606,homo,R,Male,2.8,1,Light Flicker,0,4.05,90,29458,26479,958076,199740,9886,204150,27897,521190,1631310,256440
3606,homo,R,Male,2.8,0,Light Flicker,0,4.8,90,37673,18792,820236,129991,14043,212995,21209,499858,1623263,169689
3606,homo,R,Male,2.8,0,Light Flicker,0,5.3999999999999995,90,25268,10805,613693,104701,8811,179689,11440,349459,1063738,122685
