DJID,Genotype,Eye,Sex,Age_Months,eGFP_Value,Experimental_Condition,In_Rip,Length_um,GluT1_Top_Surface_Integral,GluT1_Bot_Surface_Integral,WGA_Top_Surface_Integral,WGA_Bot_Surface_Integral,GluT1_Top_Integral,GluT1_Middle_Integral,GluT1_Bottom_Integral,WGA_Top_Integral,WGA_Middle_Integral,WGA_Bottom_Integral
2006,het,L,Male,20.6,0,Light Flicker,0,3.5999999999999996,146527,68112,2715321,1616391,134754,381065,86403,2482010,5166107,2064468
2006,het,L,Male,20.6,0,Light Flicker,0,4.95,132616,34366,2383919,825624,122693,320324,46918,2099896,4256172,1041648
2006,het,L,Male,20.6,1,Light Flicker,0,4.2,51951,19471,1087973,532726,46086,148562,26375,919867,2309349,696216
2006,het,L,Male,20.6,0,Light Flicker,0,4.5,167155,62543,2616986,1447553,134322,460061,84649,2003149,6042627,1883196
2006,het,L,Male,20.6,0,Light Flicker,0,3.5999999999999996,68104,48098,1306109,967112,49379,266379,63300,899358,2534541,1326869
2006,het,L,Male,20.6,1,Light Flicker,0,5.55,103682,42033,2031231,1364971,79591,304680,60256,1528724,5763500,1718988
2006,het,L,Male,20.6,0,Light Flicker,0,5.1,74698,48013,1873060,1215370,60483,445795,62835,1385772,4854083,1505245
2006,het,L,Male,20.6,0,Light Flicker,0,4.8,110638,36718,2243004,952978,94933,298607,54686,1771548,5102420,1275553
2006,het,L,Male,20.6,0,Light Flicker,0,4.6499999999999995,175899,74798,2642969,1753635,129270,621264,99720,1887347,7207932,2335710
2006,het,L,Male,20.6,0,Light Flicker,0,3.75,141691,83144,2508162,1980891,97196,658129,106632,1645122,5600578,2631221
2006,het,L,Male,20.6,0,Light Flicker,0,4.6499999999999995,81304,32035,1973376,967073,67715,280913,46990,1558977,4932777,1215589
2006,het,L,Male,20.6,0,Light Flicker,0,3.75,228842,96650,4560798,2105836,199315,633038,124976,3676646,8966406,2752874
2006,het,L,Male,20.6,0,Light Flicker,0,4.2,147418,72994,2461239,1491603,121550,546463,98124,1895172,4911367,2060585
2006,het,L,Male,20.6,0,Light Flicker,0,3.9,277460,151755,4345826,3248249,189961,989136,188900,2929053,10979840,4281693
2006,het,L,Male,20.6,1,Light Flicker,0,3.15,261798,154098,3590333,2743982,182404,912695,186051,2696858,6577222,3638169
2006,het,L,Male,20.6,0,Light Flicker,0,5.1,92651,37425,1970728,1094167,83409,322363,55327,1729126,6033373,1377684
2006,het,L,Male,20.6,0,Light Flicker,0,4.8,98891,36659,2012680,886779,79578,304732,51188,1510419,4716523,1165048
2006,het,L,Male,20.6,0,Light Flicker,0,5.55,280262,40645,2090360,1098526,234980,564403,54621,1454863,5344965,1365128
2006,het,L,Male,20.6,0,Light Flicker,0,5.7,70954,20643,1156240,731793,48683,217321,29325,741760,4050618,899478
2006,het,L,Male,20.6,0,Light Flicker,0,4.6499999999999995,124798,66291,2296605,1454686,90959,558602,89779,1741956,5535038,1897064
2006,het,L,Male,20.6,0,Light Flicker,0,4.05,142815,69929,2809190,1536469,112579,483778,88034,2043172,6385816,1985906
2006,het,L,Male,20.6,0,Light Flicker,0,5.7,47280,17897,1077314,505526,40374,125284,24986,841507,2582025,631712
2006,het,L,Male,20.6,0,Light Flicker,0,4.2,120763,42744,2117714,1096410,92611,309091,59488,1631351,4480408,1470746
2006,het,L,Male,20.6,0,Light Flicker,0,5.1,174557,68363,2944533,1604186,114649,678569,89735,1870152,8171311,2020357
2006,het,L,Male,20.6,1,Light Flicker,0,4.2,448351,194397,4841787,3365345,273855,2054219,237298,3168464,11541084,4355006
2006,het,L,Male,20.6,0,Light Flicker,0,3.5999999999999996,107006,50805,2204844,1019861,87260,316289,65957,1797150,4067567,1355919
2006,het,L,Male,20.6,0,Light Flicker,0,3.5999999999999996,338392,118138,3914150,2121776,240755,870946,144796,2906563,7763047,2762321
2006,het,L,Male,20.6,0,Light Flicker,0,5.25,179698,71890,2903101,1553112,121238,744609,89847,2084905,7662418,1953015
2006,het,L,Male,20.6,1,Light Flicker,0,4.35,259451,67237,3037179,1329308,167824,689087,86879,1977580,6317377,1781596
2006,het,L,Male,20.6,1,Light Flicker,0,4.6499999999999995,145910,43001,1862306,859237,98078,414292,57065,1277554,4216800,1125456
2006,het,L,Male,20.6,0,Light Flicker,0,5.7,158598,50706,2945903,1295107,112552,623080,71456,2124827,7158259,1714506
2006,het,L,Male,20.6,1,Light Flicker,0,3.3,759920,282758,2500137,2432013,443207,2491405,307181,1645892,6101018,3275526
2006,het,L,Male,20.6,0,Light Flicker,0,5.3999999999999995,240338,107806,3235792,1568712,156558,1130560,137776,2465261,7561198,2158783
2006,het,L,Male,20.6,0,Light Flicker,0,6.1499999999999995,135400,32299,2593284,870157,85826,427172,54900,1627598,7186874,1245044
2006,het,L,Male,20.6,0,Light Flicker,0,4.6499999999999995,224072,49118,1787246,1013134,143844,616182,60526,1256087,4107173,1271785
2006,het,L,Male,20.6,0,Light Flicker,0,5.1,111231,50654,1878674,1067319,75910,460172,64570,1229127,4708093,1405238
2006,het,L,Male,20.6,0,Light Flicker,0,5.1,258403,113117,3769451,2215165,169051,958614,136989,2627948,14009637,2901025
2006,het,L,Male,20.6,0,Light Flicker,0,3.0,334316,166776,3736168,2361102,231998,810801,207314,2969334,6333707,3098004
2006,het,L,Male,20.6,0,Light Flicker,0,4.5,121317,42356,1655234,840463,80037,396590,55105,1169925,3797029,1117840
2006,het,L,Male,20.6,0,Light Flicker,0,3.5999999999999996,144851,60930,2238081,1085172,111283,400304,80952,1759902,4340679,1462803
2006,het,L,Male,20.6,0,Light Flicker,0,4.6499999999999995,217330,43757,450380,703391,136959,624182,51639,345706,2008425,857674
2006,het,L,Male,20.6,1,Light Flicker,0,4.8,151448,113923,2786964,1450802,92925,821245,132044,1598652,8065237,1906278
2006,het,L,Male,20.6,0,Light Flicker,0,5.7,167256,79430,3326649,1585747,95315,884272,100537,1785168,9422827,2140327
2006,het,L,Male,20.6,0,Light Flicker,0,5.85,241692,56159,2417543,1531543,127322,846001,85185,1439142,7707631,2047216
2006,het,L,Male,20.6,1,Light Flicker,0,5.25,106441,70845,1864092,1010342,62540,520939,87205,1057018,5592333,1336100
2006,het,L,Male,20.6,0,Light Flicker,0,4.8,151350,56598,2548093,1264154,97706,465184,80192,1622555,6878381,1625697
2006,het,L,Male,20.6,0,Light Flicker,0,5.7,363623,120630,4231087,2233512,211014,1695307,148695,2505129,13014007,2907741
2006,het,L,Male,20.6,0,Light Flicker,0,5.1,130144,57512,2164925,1055246,79916,607598,67645,1349765,5422739,1335849
2006,het,L,Male,20.6,0,Light Flicker,0,5.3999999999999995,137844,61811,2108905,1265132,77742,667032,76203,1293425,6025301,1668156
2006,het,L,Male,20.6,0,Light Flicker,1,4.2,813893,133228,617265,1400684,450931,2257498,154331,426123,3707181,1806715
2006,het,L,Male,20.6,0,Light Flicker,0,4.2,97619,46738,1447622,941563,73196,370808,62301,1063935,3349622,1208306
2006,het,L,Male,20.6,1,Light Flicker,0,5.1,208591,98011,2601227,1658382,130744,807232,111919,1726125,7895238,2140302
2006,het,L,Male,20.6,0,Light Flicker,0,4.8,158664,58618,1285570,960081,86108,577485,70976,819932,4186024,1197642
2006,het,L,Male,20.6,0,Light Flicker,0,4.35,885894,202791,2034955,2356451,444182,2931879,253622,1132571,8337614,3231970
2006,het,L,Male,20.6,0,Light Flicker,0,4.35,111294,40715,1311812,718606,76234,323611,54279,862900,3724762,945299
2006,het,L,Male,20.6,0,Light Flicker,0,5.25,225335,120482,3179766,1746525,123549,1177530,146484,1712129,9945205,2343473
2006,het,L,Male,20.6,0,Light Flicker,0,4.8,213108,92302,2167247,1606139,108903,903690,113853,1205184,7447749,2059073
2006,het,L,Male,20.6,0,Light Flicker,0,4.6499999999999995,269214,108088,2648854,2190411,148354,1234078,135058,1655373,8637321,2835534
2006,het,L,Male,20.6,0,Light Flicker,0,3.9,356153,94072,1597633,1232542,176932,1185328,134086,813499,5474382,1655795
2006,het,L,Male,20.6,0,Light Flicker,0,4.05,236563,102235,2799780,1577234,144567,691637,145362,1821777,6520510,2166187
2006,het,L,Male,20.6,0,Light Flicker,0,4.95,131803,86354,1602939,1254711,66829,879410,103677,779596,5641047,1653941
2006,het,L,Male,20.6,0,Light Flicker,0,3.5999999999999996,95231,46136,1395345,857573,60395,284112,62562,914434,3024468,1129336
2006,het,L,Male,20.6,0,Light Flicker,0,3.75,77542,62362,1412469,1063981,41672,287775,85620,826053,3341354,1452885
2006,het,L,Male,20.6,0,Light Flicker,0,4.8,233642,78013,2344035,1838655,154881,735126,105253,1376614,7984602,2380334
2006,het,L,Male,20.6,0,Light Flicker,0,5.1,61936,26685,1068914,465632,40379,198506,39711,711161,2878761,628154
2006,het,L,Male,20.6,0,Light Flicker,0,4.8,187526,99791,2838165,1920780,108211,906468,126161,1514803,8141697,2588184
2006,het,L,Male,20.6,0,Light Flicker,0,4.8,74566,13545,807129,344902,50014,162655,22993,579583,1987021,449228
2006,het,L,Male,20.6,0,Light Flicker,0,4.05,114874,85696,1494963,975145,65941,531507,105993,1084676,3699836,1300558
2006,het,L,Male,20.6,0,Light Flicker,0,3.15,124764,69123,1641790,1049496,77592,358041,88174,1210757,3297780,1398005
2006,het,L,Male,20.6,0,Light Flicker,0,6.6,94758,41216,1323791,1084826,46286,582814,52715,636363,5716996,1291906
2006,het,L,Male,20.6,1,Light Flicker,0,4.6499999999999995,134576,125166,2196149,1232600,81745,797014,133971,1444727,5828977,1605788
2006,het,L,Male,20.6,0,Light Flicker,0,4.35,15678,18220,445311,249622,9819,114296,21751,347062,1055393,329656
2006,het,L,Male,20.6,0,Light Flicker,0,6.0,198106,85457,3451273,2072577,102831,1202765,116191,1830099,11332544,2677985
2006,het,L,Male,20.6,0,Light Flicker,0,7.199999999999999,122848,40201,2002890,813305,64854,704553,44465,1074038,8031228,908885
2006,het,L,Male,20.6,0,Light Flicker,0,5.3999999999999995,215886,100470,3320964,1777524,101379,1050942,141350,1729558,11564256,2410415
2006,het,L,Male,20.6,0,Light Flicker,0,5.25,105524,39762,1028500,622081,56092,390132,55758,646347,3179606,835447
2006,het,L,Male,20.6,0,Light Flicker,0,4.8,90686,47584,1343380,836156,42861,411620,61335,771265,3891983,1062354
2006,het,L,Male,20.6,0,Light Flicker,0,5.3999999999999995,176351,82204,2316396,1448345,97125,908894,107126,1363619,7081404,1976503
2006,het,L,Male,20.6,0,Light Flicker,0,3.4499999999999997,147833,87601,1855174,1027583,74297,484728,117281,1169398,4235378,1434626
2006,het,L,Male,20.6,1,Light Flicker,0,3.5999999999999996,118603,85832,2085418,1148943,60080,477373,104482,1314552,5043992,1544723
2006,het,L,Male,20.6,0,Light Flicker,0,5.25,69560,53287,1297951,953266,39016,442261,69983,702732,4827337,1342888
2006,het,L,Male,20.6,0,Light Flicker,0,6.1499999999999995,71365,36113,1154067,651390,31930,465986,47231,584005,3862147,812332
2006,het,L,Male,20.6,0,Light Flicker,0,5.1,166938,90807,3114339,2101433,95274,882945,114033,1758625,8267368,2790565
2006,het,L,Male,20.6,0,Light Flicker,0,5.85,88514,66754,1546456,1187317,47117,822947,82491,840097,5346621,1520499
2006,het,L,Male,20.6,0,Light Flicker,0,5.7,121176,69495,1667570,1464229,64548,793617,89562,946064,6193197,1873544
2006,het,L,Male,20.6,0,Light Flicker,0,5.25,69298,42465,956730,643243,31539,442166,52041,483123,3154149,857922
2006,het,L,Male,20.6,0,Light Flicker,0,5.1,109495,75724,1258502,824405,57756,660201,90617,746988,4087009,1126797
2006,het,L,Male,20.6,0,Light Flicker,0,5.7,99814,36310,861203,698792,48974,535947,47995,472467,3542932,906659
2006,het,L,Male,20.6,0,Light Flicker,0,6.3,30335,18907,447493,381915,16335,284517,21761,238520,1753939,450706
2006,het,L,Male,20.6,0,Light Flicker,0,5.1,28921,23557,770868,356463,12777,193067,30876,347586,1851894,481298
2006,het,L,Male,20.6,0,Light Flicker,0,4.35,117596,96711,3480216,1529491,48935,557381,149643,1451008,8505949,2135840
2006,het,L,Male,20.6,0,Light Flicker,0,3.5999999999999996,219022,118453,3736626,1711344,279035,661147,122190,5010682,9635640,1576124
2006,het,L,Male,20.6,0,Light Flicker,0,5.85,37560,25881,1063418,492075,27454,269478,19089,913799,3246950,346188
2006,het,L,Male,20.6,0,Light Flicker,0,6.0,79441,32534,1914691,797453,76662,394968,20317,1805911,7441102,457108
2006,het,L,Male,20.6,0,Light Flicker,0,5.1,54038,29698,1311797,730584,31329,246860,43161,790400,4121686,998422
2006,het,L,Male,20.6,0,Light Flicker,0,5.1,58063,28370,1379484,493119,84340,295610,15956,2406664,2641142,280430
2006,het,L,Male,20.6,0,Light Flicker,0,4.8,42501,13199,1195101,338429,37087,147324,22982,1072833,3345904,523096
2006,het,L,Male,20.6,0,Light Flicker,0,3.0,82509,150168,2406386,4917091,50097,332488,262694,1555378,10236587,6407964
2006,het,L,Male,20.6,0,Light Flicker,0,4.95,112646,89896,313973,1018529,186954,557591,93618,398168,2870160,925532
2006,het,L,Male,20.6,0,Light Flicker,0,5.7,86284,35883,1826876,877340,68624,311484,37054,1313323,5287898,853607
2006,het,L,Male,20.6,0,Light Flicker,0,3.75,80559,47497,1311888,421478,108983,275698,71641,2110495,2678672,621333
2006,het,L,Male,20.6,0,Light Flicker,0,6.0,140778,47529,2315557,989003,145170,464693,23064,2177443,6578427,503194
2006,het,L,Male,20.6,0,Light Flicker,0,4.5,72474,62108,1710927,1023227,33711,447694,76098,828127,4743937,1384615
2006,het,L,Male,20.6,0,Light Flicker,0,4.5,50005,19663,1496881,620241,37399,155724,30447,1096174,4363780,854204
